music query,noise type,noise intensity,result,NCD,expected
Travis Scott - NO BYSTANDERS (Audio)_segment3_brown_intensity_0.45.freqs,segment3_brown,0.45,Travis Scott - NO BYSTANDERS (Audio).freqs,0.991033,true
Post Malone - White Iverson_segment8_white_intensity_0.45.freqs,segment8_white,0.45,Travis Scott - NO BYSTANDERS (Audio).freqs,0.996299,false
Travis Scott - NO BYSTANDERS (Audio)_segment10_white_intensity_0.2.freqs,segment10_white,0.2,untiljapan - PYRAMIDZ (Official Audio).freqs,0.998853,false
Avicii - Wake Me Up (Official Video)_segment3_white_intensity_0.25.freqs,segment3_white,0.25,Avicii - Wake Me Up (Official Video).freqs,0.997256,true
Avicii - Wake Me Up (Official Video)_segment4_pink_intensity_0.15.freqs,segment4_pink,0.15,untiljapan - PYRAMIDZ (Official Audio).freqs,0.994455,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment5_white_intensity_0.45.freqs,segment5_white,0.45,untiljapan - PYRAMIDZ (Official Audio).freqs,0.99216,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment7_brown_intensity_0.05.freqs,segment7_brown,0.05,Playboi Carti - Magnolia (Official Video).freqs,0.992691,false
Travis Scott - NO BYSTANDERS (Audio)_segment7_brown_intensity_0.35.freqs,segment7_brown,0.35,Travis Scott - NO BYSTANDERS (Audio).freqs,0.993844,true
Post Malone - White Iverson_segment7_white_intensity_0.5.freqs,segment7_white,0.5,Djo - End Of Beginning.freqs,0.997958,false
Avicii - Wake Me Up (Official Video)_segment1_pink_intensity_0.3.freqs,segment1_pink,0.3,Avicii - Wake Me Up (Official Video).freqs,0.999278,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment10_brown_intensity_0.05.freqs,segment10_brown,0.05,Travis Scott - NO BYSTANDERS (Audio).freqs,0.997758,false
Avicii - Wake Me Up (Official Video)_segment5_brown_intensity_0.2.freqs,segment5_brown,0.2,Playboi Carti - Magnolia (Official Video).freqs,0.999814,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment3_white_intensity_0.4.freqs,segment3_white,0.4,untiljapan - PYRAMIDZ (Official Audio).freqs,0.993626,false
Avicii - Wake Me Up (Official Video)_segment5_white_intensity_0.35.freqs,segment5_white,0.35,Frank Ocean - White Ferrari.freqs,0.998614,false
Avicii - Wake Me Up (Official Video)_segment4_pink_intensity_0.05.freqs,segment4_pink,0.05,untiljapan - PYRAMIDZ (Official Audio).freqs,0.99745,false
Avicii - Wake Me Up (Official Video)_segment8_pink_intensity_0.05.freqs,segment8_pink,0.05,Avicii - Wake Me Up (Official Video).freqs,0.998435,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment10_pink_intensity_0.45.freqs,segment10_pink,0.45,Travis Scott - NO BYSTANDERS (Audio).freqs,0.99847,false
Travis Scott - NO BYSTANDERS (Audio)_segment5_brown_intensity_0.5.freqs,segment5_brown,0.5,Travis Scott - NO BYSTANDERS (Audio).freqs,0.993702,true
Avicii - Wake Me Up (Official Video)_segment4_white_intensity_0.5.freqs,segment4_white,0.5,untiljapan - PYRAMIDZ (Official Audio).freqs,0.995156,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment10_pink_intensity_0.4.freqs,segment10_pink,0.4,Travis Scott - NO BYSTANDERS (Audio).freqs,0.997758,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment2_pink_intensity_0.45.freqs,segment2_pink,0.45,untiljapan - PYRAMIDZ (Official Audio).freqs,0.989993,false
Post Malone - White Iverson_segment3_pink_intensity_0.05.freqs,segment3_pink,0.05,Post Malone - White Iverson.freqs,0.993031,true
Post Malone - White Iverson_segment7_white_intensity_0.45.freqs,segment7_white,0.45,Post Malone - White Iverson.freqs,0.997557,true
