music query,noise type,noise intensity,result,NCD,expected
Travis Scott - NO BYSTANDERS (Audio)_segment6_pink_intensity_0.05.freqs,segment6_pink,0.05,Travis Scott - NO BYSTANDERS (Audio).freqs,0.988797,true
Travis Scott - NO BYSTANDERS (Audio)_segment10_pink_intensity_0.3.freqs,segment10_pink,0.3,Travis Scott - NO BYSTANDERS (Audio).freqs,0.999284,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment5_brown_intensity_0.15.freqs,segment5_brown,0.15,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.98833,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment10_white_intensity_0.05.freqs,segment10_white,0.05,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.997882,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment6_pink_intensity_0.5.freqs,segment6_pink,0.5,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.989789,true
Post Malone - White Iverson_segment3_white_intensity_0.4.freqs,segment3_white,0.4,Post Malone - White Iverson.freqs,0.991379,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment7_white_intensity_0.4.freqs,segment7_white,0.4,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.991953,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment2_brown_intensity_0.15.freqs,segment2_brown,0.15,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.995859,true
Post Malone - White Iverson_segment6_white_intensity_0.15.freqs,segment6_white,0.15,Post Malone - White Iverson.freqs,0.9916,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment6_white_intensity_0.3.freqs,segment6_white,0.3,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.988424,true
Travis Scott - NO BYSTANDERS (Audio)_segment6_brown_intensity_0.15.freqs,segment6_brown,0.15,Travis Scott - NO BYSTANDERS (Audio).freqs,0.991303,true
Avicii - Wake Me Up (Official Video)_segment3_pink_intensity_0.2.freqs,segment3_pink,0.2,Avicii - Wake Me Up (Official Video).freqs,0.996982,true
Post Malone - White Iverson_segment8_pink_intensity_0.15.freqs,segment8_pink,0.15,Post Malone - White Iverson.freqs,0.991563,true
