music query,noise type,noise intensity,result,NCD,expected
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment2_pink_intensity_0.45.freqs,segment2_pink,0.45,4th Dimension.freqs,0.874896,false
Post Malone - White Iverson_segment3_pink_intensity_0.05.freqs,segment3_pink,0.05,4th Dimension.freqs,0.918654,false
Post Malone - White Iverson_segment7_white_intensity_0.45.freqs,segment7_white,0.45,New_Slaves.freqs,0.994003,false
Post Malone - White Iverson_segment1_white_intensity_0.4.freqs,segment1_white,0.4,4th Dimension.freqs,0.933644,false
Avicii - Wake Me Up (Official Video)_segment9_white_intensity_0.2.freqs,segment9_white,0.2,4th Dimension.freqs,0.999811,false
Travis Scott - NO BYSTANDERS (Audio)_segment10_pink_intensity_0.05.freqs,segment10_pink,0.05,4th Dimension.freqs,0.880725,false
Travis Scott - NO BYSTANDERS (Audio)_segment10_pink_intensity_0.4.freqs,segment10_pink,0.4,4th Dimension.freqs,0.943675,false
Post Malone - White Iverson_segment3_pink_intensity_0.4.freqs,segment3_pink,0.4,4th Dimension.freqs,0.932243,false
Travis Scott - NO BYSTANDERS (Audio)_segment1_brown_intensity_0.15.freqs,segment1_brown,0.15,Travis Scott - NO BYSTANDERS (Audio).freqs,0.987308,true
Avicii - Wake Me Up (Official Video)_segment5_brown_intensity_0.45.freqs,segment5_brown,0.45,Travis Scott - NO BYSTANDERS (Audio).freqs,0.989346,false
Post Malone - White Iverson_segment2_pink_intensity_0.15.freqs,segment2_pink,0.15,Post Malone - White Iverson.freqs,0.993322,true
Post Malone - White Iverson_segment6_brown_intensity_0.45.freqs,segment6_brown,0.45,Imagine Dragons - Bones (Official Music Video).freqs,0.999348,false
Avicii - Wake Me Up (Official Video)_segment2_brown_intensity_0.45.freqs,segment2_brown,0.45,4th Dimension.freqs,0.851616,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment4_white_intensity_0.15.freqs,segment4_white,0.15,4th Dimension.freqs,0.846771,false
Avicii - Wake Me Up (Official Video)_segment9_brown_intensity_0.35.freqs,segment9_brown,0.35,Travis Scott - NO BYSTANDERS (Audio).freqs,0.996747,false
Travis Scott - NO BYSTANDERS (Audio)_segment2_pink_intensity_0.1.freqs,segment2_pink,0.1,4th Dimension.freqs,0.888826,false
Travis Scott - NO BYSTANDERS (Audio)_segment1_pink_intensity_0.1.freqs,segment1_pink,0.1,4th Dimension.freqs,0.896018,false
Travis Scott - NO BYSTANDERS (Audio)_segment10_brown_intensity_0.5.freqs,segment10_brown,0.5,4th Dimension.freqs,0.92278,false
Travis Scott - NO BYSTANDERS (Audio)_segment4_pink_intensity_0.15.freqs,segment4_pink,0.15,4th Dimension.freqs,0.923878,false
Post Malone - White Iverson_segment9_pink_intensity_0.05.freqs,segment9_pink,0.05,Post Malone - White Iverson.freqs,0.997072,true
Avicii - Wake Me Up (Official Video)_segment9_white_intensity_0.05.freqs,segment9_white,0.05,Avicii - Wake Me Up (Official Video).freqs,0.999606,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment3_brown_intensity_0.3.freqs,segment3_brown,0.3,4th Dimension.freqs,0.848323,false
Post Malone - White Iverson_segment9_white_intensity_0.4.freqs,segment9_white,0.4,4th Dimension.freqs,0.86778,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment8_brown_intensity_0.25.freqs,segment8_brown,0.25,4th Dimension.freqs,0.877962,false
Avicii - Wake Me Up (Official Video)_segment2_pink_intensity_0.05.freqs,segment2_pink,0.05,4th Dimension.freqs,0.959005,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment9_white_intensity_0.25.freqs,segment9_white,0.25,4th Dimension.freqs,0.868877,false
Travis Scott - NO BYSTANDERS (Audio)_segment1_white_intensity_0.4.freqs,segment1_white,0.4,4th Dimension.freqs,0.906314,false
Travis Scott - NO BYSTANDERS (Audio)_segment3_pink_intensity_0.45.freqs,segment3_pink,0.45,4th Dimension.freqs,0.851124,false
Travis Scott - NO BYSTANDERS (Audio)_segment3_white_intensity_0.3.freqs,segment3_white,0.3,4th Dimension.freqs,0.850481,false
Travis Scott - NO BYSTANDERS (Audio)_segment8_pink_intensity_0.1.freqs,segment8_pink,0.1,4th Dimension.freqs,0.869786,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment6_white_intensity_0.5.freqs,segment6_white,0.5,4th Dimension.freqs,0.852714,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment4_brown_intensity_0.3.freqs,segment4_brown,0.3,4th Dimension.freqs,0.870051,false
Travis Scott - NO BYSTANDERS (Audio)_segment9_pink_intensity_0.35.freqs,segment9_pink,0.35,4th Dimension.freqs,0.853093,false
Post Malone - White Iverson_segment1_brown_intensity_0.1.freqs,segment1_brown,0.1,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video).freqs,0.97953,false
Travis Scott - NO BYSTANDERS (Audio)_segment8_white_intensity_0.1.freqs,segment8_white,0.1,4th Dimension.freqs,0.87183,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment8_white_intensity_0.45.freqs,segment8_white,0.45,4th Dimension.freqs,0.983761,false
Travis Scott - NO BYSTANDERS (Audio)_segment7_white_intensity_0.4.freqs,segment7_white,0.4,4th Dimension.freqs,0.913355,false
Post Malone - White Iverson_segment3_pink_intensity_0.15.freqs,segment3_pink,0.15,Travis Scott - NO BYSTANDERS (Audio).freqs,0.988273,false
Post Malone - White Iverson_segment10_pink_intensity_0.05.freqs,segment10_pink,0.05,4th Dimension.freqs,0.915664,false
Post Malone - White Iverson_segment10_white_intensity_0.1.freqs,segment10_white,0.1,4th Dimension.freqs,0.925997,false
Avicii - Wake Me Up (Official Video)_segment2_brown_intensity_0.1.freqs,segment2_brown,0.1,New_Slaves.freqs,0.994003,false
Travis Scott - NO BYSTANDERS (Audio)_segment7_brown_intensity_0.3.freqs,segment7_brown,0.3,4th Dimension.freqs,0.850329,false
Travis Scott - NO BYSTANDERS (Audio)_segment8_pink_intensity_0.2.freqs,segment8_pink,0.2,4th Dimension.freqs,0.870126,false
Post Malone - White Iverson_segment8_brown_intensity_0.35.freqs,segment8_brown,0.35,Imagine Dragons - Bones (Official Music Video).freqs,0.984769,false
Travis Scott - NO BYSTANDERS (Audio)_segment1_pink_intensity_0.2.freqs,segment1_pink,0.2,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video).freqs,0.973815,false
Travis Scott - NO BYSTANDERS (Audio)_segment10_white_intensity_0.05.freqs,segment10_white,0.05,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video).freqs,0.983078,false
